Title,Description,Priority,Sprint
Codigo y demo para visualizar los playback recordings (segun filtros),Codigo y demo para visualizar los playback recordings (segun filtros),1,Black and Blue\Sprint 14
Codigo y demo para exponer la authenticación de usuarios de Sigsystem,Codigo y demo para exponer la authenticación de usuarios de Sigsystem,1,Black and Blue\Sprint 14
Codigo y demo para exponer los playback recordings (segun filtros),Codigo y demo para exponer los playback recordings (segun filtros),1,Black and Blue\Sprint 14
Codigo y demo para exponer la gestion de usuarios,Codigo y demo para exponer la gestion de usuarios,1,Black and Blue\Sprint 14
